Class,Rnorm,Gnorm,Bnorm
2,0.5769230769230769,0.21153846153846154,0.28846153846153844
0,0.54,0.32,0.2
0,0.44871794871794873,0.358974358974359,0.3076923076923077
1,0.6190476190476191,0.21428571428571427,0.19047619047619047
2,0.7307692307692307,0.15384615384615385,0.23076923076923078
0,0.5522388059701493,0.29850746268656714,0.19402985074626866
1,0.6170212765957447,0.2553191489361702,0.2127659574468085
0,0.5483870967741935,0.3225806451612903,0.1935483870967742
1,0.5714285714285714,0.2857142857142857,0.21428571428571427
0,0.5,0.35526315789473684,0.2236842105263158
3,0.375,0.4107142857142857,0.23214285714285715
2,0.6923076923076923,0.19230769230769232,0.23076923076923078
0,0.49056603773584906,0.32075471698113206,0.22641509433962265
2,0.6521739130434783,0.21739130434782608,0.2608695652173913
1,0.6285714285714286,0.22857142857142856,0.2
2,0.631578947368421,0.18421052631578946,0.2631578947368421
3,0.4666666666666667,0.4,0.2222222222222222
2,0.5454545454545454,0.36363636363636365,0.45454545454545453
0,0.5217391304347826,0.3333333333333333,0.2028985507246377
1,0.5773195876288659,0.25773195876288657,0.2268041237113402
0,0.46,0.32,0.26
2,0.6666666666666666,0.16666666666666666,0.2222222222222222
3,0.34375,0.40625,0.3020833333333333
0,0.5454545454545454,0.3181818181818182,0.20454545454545456
2,0.62,0.2,0.26
0,0.5686274509803921,0.29411764705882354,0.19607843137254902
3,0.3584905660377358,0.39622641509433965,0.2830188679245283
2,0.6451612903225806,0.22580645161290322,0.25806451612903225
2,0.6153846153846154,0.23076923076923078,0.3076923076923077
0,0.5416666666666666,0.3055555555555556,0.20833333333333334
0,0.559322033898305,0.3050847457627119,0.1864406779661017
2,0.5897435897435898,0.20512820512820512,0.2948717948717949
0,0.5,0.35,0.225
2,0.6785714285714286,0.17857142857142858,0.25
0,0.5645161290322581,0.3064516129032258,0.1935483870967742
3,0.4126984126984127,0.4126984126984127,0.23809523809523808
3,0.4594594594594595,0.35135135135135137,0.24324324324324326
0,0.5576923076923077,0.3076923076923077,0.19230769230769232
3,0.379746835443038,0.43037974683544306,0.26582278481012656
1,0.5901639344262295,0.2459016393442623,0.21311475409836064
1,0.5769230769230769,0.28205128205128205,0.20512820512820512
2,0.4642857142857143,0.21428571428571427,0.32142857142857145
2,0.6326530612244898,0.1836734693877551,0.2653061224489796
0,0.5483870967741935,0.3064516129032258,0.1935483870967742
2,0.6521739130434783,0.21739130434782608,0.21739130434782608
3,0.48148148148148145,0.37037037037037035,0.2222222222222222
2,0.64,0.24,0.28
1,0.5492957746478874,0.30985915492957744,0.19718309859154928
0,0.49504950495049505,0.31683168316831684,0.22772277227722773
0,0.55,0.275,0.2
0,0.5333333333333333,0.3333333333333333,0.21333333333333335
1,0.5595238095238095,0.2976190476190476,0.21428571428571427
0,0.5588235294117647,0.3088235294117647,0.20588235294117646
3,0.3696969696969697,0.3515151515151515,0.3515151515151515
2,0.5925925925925926,0.18518518518518517,0.2222222222222222
1,0.5660377358490566,0.2641509433962264,0.2169811320754717
3,0.3629032258064516,0.3870967741935484,0.2903225806451613
0,0.5522388059701493,0.31343283582089554,0.19402985074626866
2,0.6956521739130435,0.17391304347826086,0.21739130434782608
2,0.5862068965517241,0.20689655172413793,0.27586206896551724
3,0.39285714285714285,0.42857142857142855,0.25
2,0.6136363636363636,0.20454545454545456,0.22727272727272727
2,0.7,0.14,0.22
2,0.6153846153846154,0.23076923076923078,0.3076923076923077
2,0.5384615384615384,0.23076923076923078,0.3076923076923077
0,0.47023809523809523,0.3273809523809524,0.23214285714285715
0,0.45977011494252873,0.3448275862068966,0.26436781609195403
2,0.65,0.2,0.25
0,0.4931506849315068,0.3287671232876712,0.2328767123287671
